departure location: 49-627 or 650-970
departure station: 26-400 or 413-965
departure platform: 28-375 or 390-971
departure track: 45-393 or 400-954
departure date: 32-760 or 783-955
departure time: 25-420 or 439-961
arrival location: 40-573 or 582-964
arrival station: 42-839 or 857-964
arrival platform: 26-89 or 105-970
arrival track: 30-502 or 510-952
class: 39-882 or 888-956
duration: 35-352 or 371-971
price: 45-467 or 486-970
route: 32-746 or 759-972
row: 45-461 or 467-955
seat: 29-790 or 809-963
train: 41-445 or 461-952
type: 40-683 or 701-974
wagon: 38-111 or 127-963
zone: 28-226 or 234-951

your ticket:
107,109,163,127,167,157,139,67,131,59,151,53,73,83,61,89,71,149,79,137

nearby tickets:
910,308,590,919,735,895,709,238,269,618,606,437,541,938,912,811,330,80,283,210
256,680,352,64,818,63,168,78,564,179,859,908,724,306,312,719,624,866,929,451
533,889,715,87,902,258,295,150,837,199,160,286,785,927,129,656,888,401,142,926
141,915,162,138,283,528,319,84,902,587,139,278,201,111,300,176,394,333,786,937
239,263,85,78,317,472,278,713,490,875,225,608,943,106,567,789,891,713,675,881
943,273,488,306,839,283,710,178,195,831,720,496,558,895,108,918,491,240,217,485
861,730,203,555,904,292,213,163,872,569,123,310,522,731,337,308,600,400,298,661
608,270,738,682,210,139,662,196,495,132,494,282,824,678,921,887,226,264,915,172
821,626,72,199,822,824,784,264,260,295,544,418,583,336,57,783,12,601,558,245
334,254,872,570,109,79,786,587,445,419,149,698,273,566,860,77,561,944,722,73
705,318,289,282,349,231,709,567,912,783,312,602,129,721,831,922,569,893,225,176
620,444,520,232,570,467,668,220,178,676,787,830,941,861,937,614,495,864,243,714
344,173,875,88,73,254,624,623,627,61,61,906,326,234,455,86,743,163,785,55
514,655,137,589,857,605,215,924,819,209,289,589,179,210,153,947,289,506,135,941
296,519,89,415,717,832,550,127,441,906,846,132,609,109,711,335,374,819,292,216
745,979,822,701,288,158,170,263,878,334,606,273,931,190,284,915,259,654,174,560
933,501,735,872,290,335,157,995,892,263,219,811,897,662,172,206,589,529,214,785
618,730,817,602,336,554,796,760,241,824,569,349,519,197,839,420,788,866,741,84
949,286,309,571,890,900,890,107,940,347,301,447,400,569,371,889,598,337,872,225
544,494,931,834,518,159,858,519,659,929,245,325,672,148,755,540,511,518,263,200
204,848,653,532,877,352,568,949,534,587,86,715,325,247,444,315,282,511,467,254
253,617,605,906,212,934,787,275,898,563,906,566,678,708,246,683,320,683,136,117
661,62,137,512,785,536,914,443,896,875,657,767,400,838,190,828,868,900,534,737
317,85,665,200,551,69,288,84,534,190,738,530,141,413,235,446,150,127,270,76
523,302,664,496,606,762,150,563,744,340,306,814,205,491,561,80,899,181,561,158
536,534,652,835,555,825,831,739,536,610,163,907,70,940,309,129,160,256,590,998
334,670,656,829,515,520,927,534,789,790,598,348,941,606,816,575,906,826,870,787
173,600,348,202,627,55,179,522,735,16,920,566,821,599,585,444,151,606,313,208
87,274,444,864,419,947,880,530,537,650,456,414,616,874,716,70,735,863,551,390
680,536,539,875,821,931,833,286,109,585,77,128,895,681,129,593,273,189,566,782
135,602,156,246,278,714,567,682,247,153,947,569,159,675,864,946,147,980,172,199
183,331,131,716,918,64,239,598,512,544,752,337,948,516,270,136,110,349,327,319
904,129,652,865,390,188,262,597,416,50,255,679,897,577,165,592,210,413,219,75
870,197,292,105,148,679,181,627,570,82,133,291,530,319,585,560,815,650,657,401
312,739,283,276,921,493,177,65,895,864,869,126,212,545,930,925,650,320,155,172
