Card   1: 27 61 49 69 58 44  2 29 39 10 | 97 96 49 78 26 58 27 77 69  9 39 88 53 10  2 29 61 62 48 87 18 44 74 34 11
Card   2: 65 22 99 75 72 29 38 82 80 66 | 87 15 21 50 55 72  4 54 46 29 95  2 65 75 18 89 99 80 38 82 56 33 22 66 71
Card   3: 27 95 96 34 14 42 40 60 50 93 | 35 95 22 34 50 27 29 77 78  4  5 61 93  8 59 63 16 45 80 81 92 23 42 88 82
Card   4: 58 73 96 88 51 32  1 40 19 85 | 93 72  7 85 52 51  2 96 40 90 32 57 89 12 88 44 19 53 58 78 73 25 50  1 84
Card   5: 69 52 10 51 73 47 22 84 36  8 | 40 84 69 32 73 33 98 76 51 22 10 97 36 52 68  8 43 93 29 44 85 13 26 47 77
Card   6: 39 57 46 20 17 67 10 77 90 99 | 73 26 60 41 77 61 96 25 59 94 22  5 55 95 14 33 62 15  7 75 86 93 74 32 42
Card   7:  7 25 29 75 24 19 78 77 18  8 | 77 80 54 85  4 66 12 82 23 17 53 20 91 32 94 59  9  6  3 97  8 55 60 11 36
Card   8: 14 82 46 78  3 64 62 69 92  6 | 87 14 88 92 48 64 52 83 37 29 56  3 86 27  6 62  1 13 82 78 69 25 15 31 46
Card   9: 53 43 10  8 47 41 67 95 90 11 | 10  3 71 67 54 59 24 25 53 70 43  7 93 41 85 42 26 98  8 13 87 99 11 58  2
Card  10: 72 45 30 67 14 98 15 27 62 66 | 36 59 90 14 98 66 45 26 97 76 62 58 67 33 64 39 22 15 30 68 27 41 24  7 72
Card  11: 45  3 18 55 42 83 79 37 30 49 | 88 97 34 71 74 14 53 79 50 18 55 60 72 28  3 19 30 63  1 90 49 32 86 70 37
Card  12: 94 10 20 82 41 84 40 71 33  3 | 48 19 94 87 56 64 16 20  4 95 31 36 37 40 57 39 18 14 46 82 47  1  3 23 83
Card  13:  5 27 33 28 51 14 99 68 38 65 |  2 27 14 39 41 51 69 77 38 28 15  5 65 11 57 97 76 34 99 87 31 46 68 33 16
Card  14: 94 37 74 54 72 20 22 53 70 59 | 26 25 96 10 20 21  5 52 72 85 37 73 22 56 94 23 59 84 34 54 44 27 70 92 76
Card  15:  6  7 59 98 17 34 15 97 72 45 | 48 50 77  6 35  7 86 17  1 27 59 54 44 97 47 72  3 34 12 37 15 69 49 64 80
Card  16: 35 27 20 21 94 40 80  4 53 34 |  1 80 22 16 97 96 87 55 93 70 13 95 76 24 41 85 83 46 67 68 79 98 48 25 86
Card  17:  3 48 35 96 80 15 54 16 67 92 | 94 96 34 38 57  1 67 41  9 60 80 54 15 85  4 21 75 59 66 81 84 43 48 23  3
Card  18: 34 59 22 95 30 44 91 57 78 53 | 82 47 55 36 67  7 59 25 84 70 37 49 77 20 88 97 98 61 44 46 54  4 86 11 58
Card  19: 31 19 44 79 94 29 18 90  3 54 | 60 76  7 48 87 36 31 57 11 21 94 20 62 53 66 39 72 85 17 63 49 24 79 37 68
Card  20: 37 33  5 55 69 42 96 91 50 49 | 19 60 46 35 57 39  7  5 86  4 73 84 28 20 81 87 18 61 29 56 68 42 27 64 38
Card  21: 23 95 53 13 56 62 76 64 98 63 | 36 20 61 21 67 14 82 44 59 97 56  9 47 93 63 18 16 46 25 87 19 88 85 95 29
Card  22: 70 84 58 75 23 68 35 39 31 22 | 49 13  6 12 24 83 97 76 43 57 65 42 98 16 54 15 91 44 55 90 81  9 36  2 27
Card  23: 61  4 42 33 21 94 67 86 91 66 | 81 34 17 92 97 12 50 69 19 63 68 44 80 72 83 95 10 31 42 75  5 74 60  9 24
Card  24:  1 31 21 84 98 51  2  6 86 53 | 95 23 99 47  9 57  7 27 36 89 24 77 46 39 25 78 17 14 16 87 73 61 90 32  5
Card  25: 54 19 59 74 58 36 46 39 31 27 | 54 42 46 56 59 45 39 79 19 88 27 91 74 38 48 15 36 31 73 35 64 60 62 58 78
Card  26: 83 26 43 71 24 22 93 94 10  6 | 94 76 93 22  8 85 62 24 40 79 31 97 64 71 10 87 26 83 58 28 43  6 44  3 54
Card  27: 47 73 50 11  5 55 46 97  8 84 | 41 75 97  8 23 15 26 86 42 98 43 47 49 62 11  9 69 92 88  5 73 18 76 93 22
Card  28: 60  6 84  1 90  4 45 25 44 30 | 65 13 69 61 91 50 89 88 71 36 21  5 86 10 41 28 59 47 79 98 14 78  7 25 54
Card  29: 65 16 91 46 52  7  1 41 49 32 | 10  6 32 53 12 43 62 50 37 49 66  3 97 16 72 57 81 86 91 46 89 52 71 82 14
Card  30: 94 63 59 54 49 17 68 84 91 64 | 37 91 13 24 14 73 96  1 90 87  2 66  5 74 34 93 41 48 79  6 33 16 40 49 64
Card  31: 34  6 27 31 92  2 25 13  5 83 | 92  2 20 11 34 48 13 25 39 87 10 16 12 15 83 57 22 76 51 55  6  5 74 38 31
Card  32:  3 67 34 83 26 14 47 32 42 15 | 30 79 62 25 63 41 53 84 40  8 94 44  9 54 93 18 77 95 59 37 86 50 51 17 87
Card  33: 65 88 76 95 94 71 22 99 66 60 |  7 81 32 62  5 99 69 55 19 74 96 20 36 40 84 51  8 39 48  3 93  6 98 46 41
Card  34: 50 25 13 64 95 62 24  5  7 85 | 15 13 43 65 55  2 99 27 24 42 82 64 77 21 41 85 72 62 52 89 81 96 61 95 10
Card  35: 33 11 79 32 91 86 12 39  5 71 |  5 91 62 16 29 82 88  2 51 80 17 99 38 58 36 12 81 43  6 49 42 37 35 46 47
Card  36: 48 60 23 73 91 80 17 57 12 85 | 23 11 98 10 89 15 26  3 91 43 33 27 77 80 90 45 28 81 75 29 69 16 60 96 86
